"sex","agegr","edu","socprof","marital","depress","trust","trustfam","trustneigh","income"
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"FEMALE","65+","VOCATIONAL/GRAMMAR","RETIRED","WIDOWED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES",990
"MALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800
"MALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",3,"IT`S DIFFICULT TO TELL","NO OPINION","NO",3000
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","SINGLE",11,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1000
"FEMALE","16-24","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",2,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1400
"MALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",0,"IT`S DIFFICULT TO TELL","YES","YES",3300
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"FEMALE","45-59","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","MARRIED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",500
"FEMALE","60-64","SECONDARY","RETIRED","DE FACTO SEPARATED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
"MALE","60-64","SECONDARY","RETIRED","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",2000
"FEMALE","45-59","SECONDARY","FARMER","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",3000
"MALE","45-59","SECONDARY","FARMER","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","45-59","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","45-59","POST-SECONDARY OR HIGHER","SELF-EMPLOYED","MARRIED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","WIDOWED",16,"ONE CAN`T BE TOO CAREFUL","YES","YES",1600
"FEMALE","25-34","SECONDARY","PUPIL OR STUDENT","SINGLE",1,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",NA,"IT`S DIFFICULT TO TELL","YES","YES",2000
"MALE","35-44","VOCATIONAL/GRAMMAR","FARMER","DIVORCED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",500
"FEMALE","45-59","PRIMARY/NO EDUCATION","EMPLOYED IN PUBLIC SECTOR","MARRIED",6,"IT`S DIFFICULT TO TELL","YES","NO OPINION",1040
"MALE","45-59","SECONDARY","SELF-EMPLOYED","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"FEMALE","45-59","POST-SECONDARY OR HIGHER","RETIRED","WIDOWED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO",500
"MALE","25-34","SECONDARY","EMPLOYED IN PUBLIC SECTOR","SINGLE",2,"MOST PEOPLE CAN BE TRUSTED","YES","NO",1500
"FEMALE","35-44","PRIMARY/NO EDUCATION","FARMER","WIDOWED",1,"MOST PEOPLE CAN BE TRUSTED","YES","YES",NA
"FEMALE","65+","SECONDARY","RETIRED","SINGLE",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1900
"MALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1700
"FEMALE","65+","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1000
"MALE","35-44","VOCATIONAL/GRAMMAR","FARMER","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",2000
"FEMALE","25-34","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",520
"MALE","60-64","PRIMARY/NO EDUCATION","RETIRED","SINGLE",4,"ONE CAN`T BE TOO CAREFUL","YES","YES",800
"MALE","16-24","PRIMARY/NO EDUCATION","PUPIL OR STUDENT","SINGLE",0,"IT`S DIFFICULT TO TELL","YES","YES",NA
"MALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",3,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",0,"MOST PEOPLE CAN BE TRUSTED","NO OPINION","NO OPINION",NA
"FEMALE","65+","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",9,"IT`S DIFFICULT TO TELL","NO OPINION","YES",2874
"MALE","16-24","VOCATIONAL/GRAMMAR","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"MALE","65+","VOCATIONAL/GRAMMAR","RETIRED","WIDOWED",15,"ONE CAN`T BE TOO CAREFUL","YES","NO",1500
"MALE","65+","SECONDARY","RETIRED","MARRIED",15,"MOST PEOPLE CAN BE TRUSTED","YES","YES",2300
"FEMALE","35-44","VOCATIONAL/GRAMMAR","OTHER ECONOMICALLY INACTIVE","MARRIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO",NA
"MALE","45-59","SECONDARY","FARMER","MARRIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES",1800
"FEMALE","45-59","PRIMARY/NO EDUCATION","EMPLOYED IN PUBLIC SECTOR","MARRIED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES",480
"FEMALE","45-59","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","DIVORCED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES",1500
"FEMALE","35-44","POST-SECONDARY OR HIGHER","EMPLOYED IN PUBLIC SECTOR","SINGLE",3,"IT`S DIFFICULT TO TELL","YES","YES",2000
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES",2000
"MALE","65+","VOCATIONAL/GRAMMAR","RETIRED","MARRIED",0,"IT`S DIFFICULT TO TELL","YES","YES",4000
"MALE","45-59","VOCATIONAL/GRAMMAR","LONG-TERM SICK/DISABLED","DIVORCED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES",640
"FEMALE","65+","POST-SECONDARY OR HIGHER","RETIRED","MARRIED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1470
"MALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",616
"MALE","25-34","SECONDARY","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1300
"MALE","35-44","VOCATIONAL/GRAMMAR","EMPLOYED IN PRIVATE SECTOR","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",1600
"MALE","35-44","SECONDARY","EMPLOYED IN PRIVATE SECTOR","MARRIED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION",1200
"FEMALE","60-64","PRIMARY/NO EDUCATION","LONG-TERM SICK/DISABLED","MARRIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES",580
"MALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",9,"IT`S DIFFICULT TO TELL","YES","YES",900
"MALE","35-44","SECONDARY","LONG-TERM SICK/DISABLED","MARRIED",12,"ONE CAN`T BE TOO CAREFUL","YES","YES",1600
"MALE","25-34","SECONDARY","LONG-TERM SICK/DISABLED","SINGLE",7,"ONE CAN`T BE TOO CAREFUL","YES","YES",780
"MALE","45-59","VOCATIONAL/GRAMMAR","FARMER","MARRIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",2400
"FEMALE","25-34","POST-SECONDARY OR HIGHER","EMPLOYED IN PRIVATE SECTOR","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","NO",3000
"MALE","16-24","PRIMARY/NO EDUCATION","PUPIL OR STUDENT","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION",NA
"FEMALE","25-34","PRIMARY/NO EDUCATION","EMPLOYED IN PRIVATE SECTOR","MARRIED",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES",1800
"MALE","16-24","VOCATIONAL/GRAMMAR","UNEMPLOYED","SINGLE",0,"ONE CAN`T BE TOO CAREFUL","YES","YES",NA
"FEMALE","16-24","SECONDARY","PUPIL OR STUDENT","SINGLE",0,"IT`S DIFFICULT TO TELL","YES","YES",NA
"FEMALE","65+","PRIMARY/NO EDUCATION","RETIRED","MARRIED",10,"ONE CAN`T BE TOO CAREFUL","YES","YES",1000
